   1: max:0.179, min:0.000, mean:0.070
   2: max:0.179, min:0.036, mean:0.084
   3: max:0.179, min:0.036, mean:0.094
   4: max:0.179, min:0.036, mean:0.105
   5: max:0.214, min:0.071, mean:0.116
   6: max:0.214, min:0.071, mean:0.128
   7: max:0.214, min:0.036, mean:0.140
   8: max:0.214, min:0.071, mean:0.149
   9: max:0.214, min:0.071, mean:0.155
  10: max:0.214, min:0.071, mean:0.162
  11: max:0.250, min:0.107, mean:0.172
  12: max:0.250, min:0.107, mean:0.177
  13: max:0.250, min:0.107, mean:0.184
  14: max:0.250, min:0.143, mean:0.196
  15: max:0.250, min:0.107, mean:0.205
  16: max:0.286, min:0.143, mean:0.216
  17: max:0.321, min:0.179, mean:0.226
  18: max:0.321, min:0.179, mean:0.230
  19: max:0.286, min:0.179, mean:0.230
  20: max:0.286, min:0.143, mean:0.235
  21: max:0.286, min:0.179, mean:0.244
  22: max:0.321, min:0.179, mean:0.250
  23: max:0.321, min:0.179, mean:0.258
  24: max:0.321, min:0.179, mean:0.265
  25: max:0.321, min:0.179, mean:0.269
  26: max:0.321, min:0.179, mean:0.269
  27: max:0.357, min:0.179, mean:0.281
  28: max:0.357, min:0.143, mean:0.285
  29: max:0.357, min:0.214, mean:0.292
  30: max:0.393, min:0.214, mean:0.299
  31: max:0.393, min:0.250, mean:0.310
  32: max:0.393, min:0.214, mean:0.314
  33: max:0.393, min:0.214, mean:0.321
  34: max:0.393, min:0.250, mean:0.329
  35: max:0.393, min:0.250, mean:0.335
  36: max:0.393, min:0.250, mean:0.337
  37: max:0.393, min:0.250, mean:0.341
  38: max:0.429, min:0.286, mean:0.341
  39: max:0.393, min:0.250, mean:0.347
  40: max:0.393, min:0.250, mean:0.356
  41: max:0.429, min:0.250, mean:0.362
  42: max:0.429, min:0.286, mean:0.362
  43: max:0.429, min:0.321, mean:0.369
  44: max:0.429, min:0.250, mean:0.372
  45: max:0.464, min:0.286, mean:0.374
  46: max:0.464, min:0.321, mean:0.378
  47: max:0.464, min:0.286, mean:0.380
  48: max:0.464, min:0.286, mean:0.385
  49: max:0.464, min:0.321, mean:0.387
  50: max:0.464, min:0.286, mean:0.390
  51: max:0.464, min:0.321, mean:0.396
  52: max:0.464, min:0.286, mean:0.401
  53: max:0.500, min:0.321, mean:0.406
  54: max:0.500, min:0.286, mean:0.415
  55: max:0.500, min:0.321, mean:0.424
  56: max:0.500, min:0.357, mean:0.425
  57: max:0.500, min:0.357, mean:0.428
  58: max:0.500, min:0.321, mean:0.432
  59: max:0.500, min:0.321, mean:0.431
  60: max:0.500, min:0.357, mean:0.435
  61: max:0.536, min:0.321, mean:0.434
  62: max:0.536, min:0.357, mean:0.445
  63: max:0.536, min:0.321, mean:0.449
  64: max:0.536, min:0.321, mean:0.460
  65: max:0.536, min:0.357, mean:0.467
  66: max:0.536, min:0.357, mean:0.474
  67: max:0.536, min:0.393, mean:0.475
  68: max:0.536, min:0.357, mean:0.474
  69: max:0.536, min:0.393, mean:0.479
  70: max:0.536, min:0.357, mean:0.490
  71: max:0.536, min:0.393, mean:0.499
  72: max:0.536, min:0.393, mean:0.501
  73: max:0.571, min:0.357, mean:0.499
  74: max:0.571, min:0.393, mean:0.504
  75: max:0.571, min:0.429, mean:0.507
  76: max:0.571, min:0.429, mean:0.510
  77: max:0.571, min:0.393, mean:0.504
  78: max:0.571, min:0.429, mean:0.504
